#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       22000       3.554118e-02       4.044924e-03       2.033801e-02       4.305860e-01       1.750554e-02       1.092452e-01
       22100       8.630471e-02       4.548296e-03       4.461405e-02       1.082426e+00       1.050231e-02       1.604097e-01
       22200       4.155803e-02       8.224087e-03       2.320036e-02       5.775397e-01       1.208632e-02       1.223732e-01
       22300       2.439064e-02       7.120641e-03       1.229076e-02       1.691170e-01       9.152370e-03       6.476110e-02
       22400       3.813376e-02       2.084692e-03       2.064439e-02       2.653680e-01       1.101235e-02       9.260957e-02
       22500       1.880298e-02       3.679373e-03       1.060195e-02       1.738168e-01       1.072382e-02       7.270934e-02
       22600       2.680451e-02       7.136094e-04       1.065169e-02       1.547424e-01       1.607439e-02       5.278984e-02
       22700       4.737876e-02       3.788453e-03       2.688551e-02       4.964721e-01       1.517668e-02       1.006588e-01
       22800       4.695642e-02       4.425631e-03       2.714583e-02       7.605602e-01       1.378694e-02       1.056139e-01
       22900       6.284645e-02       3.632686e-03       3.531614e-02       9.032587e-01       1.876320e-02       1.469458e-01
       23000       4.212113e-02       7.029358e-03       2.375327e-02       6.258485e-01       2.480628e-02       1.320024e-01
       23100       4.179200e-02       2.771344e-03       2.125164e-02       2.742965e-01       1.296226e-02       1.017480e-01
       23200       4.684075e-02       1.899126e-03       2.323203e-02       3.963739e-01       2.399721e-02       1.271058e-01
       23300       1.767448e-02       6.876768e-03       1.112020e-02       2.253435e-01       1.440132e-02       8.568137e-02
       23400       3.835048e-02       5.952968e-03       2.125794e-02       5.139567e-01       1.124749e-02       1.139726e-01
       23500       9.570771e-02       6.105056e-03       5.297454e-02       1.431190e+00       1.530138e-02       1.748700e-01
       23600       3.372165e-02       1.945427e-03       2.021078e-02       5.197000e-01       1.224087e-02       7.425153e-02
       23700       3.078418e-02       1.032417e-02       1.772909e-02       3.149522e-01       7.619205e-03       9.153297e-02
       23800       2.296915e-02       3.229314e-03       1.493115e-02       1.895301e-01       1.678478e-02       7.296469e-02
       23900       5.979967e-02       1.450417e-02       3.362697e-02       6.053942e-01       1.390986e-02       1.346839e-01
       24000       3.973042e-02       3.074730e-03       2.305374e-02       6.414275e-01       1.265660e-02       1.075585e-01
       24100       2.928565e-02       7.988898e-03       1.548810e-02       2.515810e-01       1.655226e-02       9.866555e-02
       24200       3.076908e-02       3.842726e-03       1.562180e-02       2.928975e-01       2.118793e-02       9.580952e-02
       24300       3.981004e-02       3.638871e-03       2.095519e-02       3.814735e-01       2.443008e-02       1.161754e-01
       24400       3.471480e-02       2.220258e-03       1.895771e-02       5.129177e-01       1.374053e-02       1.199498e-01
       24500       4.428527e-02       2.149997e-03       2.394513e-02       2.438256e-01       2.632407e-02       9.511899e-02
       24600       2.825229e-02       4.322395e-03       1.534168e-02       1.850727e-01       1.427540e-02       6.908212e-02
       24700       1.441170e-02       3.965248e-03       9.054201e-03       1.710932e-01       1.045603e-02       5.326554e-02
       24800       2.059224e-02       2.832396e-03       1.088150e-02       1.870944e-01       9.405714e-03       5.727405e-02
       24900       4.101357e-02       1.540938e-03       2.135137e-02       4.817249e-01       1.444341e-02       9.630396e-02
       25000       6.186651e-02       3.282390e-03       3.458003e-02       1.022182e+00       1.623009e-02       1.125478e-01
       25100       2.148066e-02       2.549293e-03       1.210166e-02       1.857495e-01       1.138940e-02       6.477750e-02
       25200       3.829219e-02       4.650347e-03       2.286214e-02       3.647438e-01       1.512711e-02       9.298532e-02
       25300       3.078367e-02       2.881699e-03       1.580651e-02       3.167998e-01       3.082405e-02       1.022084e-01
       25400       4.315358e-02       6.226012e-03       2.544857e-02       3.976763e-01       2.240394e-02       1.190070e-01
       25500       6.283843e-02       3.357007e-03       3.394952e-02       1.172302e+00       1.736335e-02       1.324955e-01
       25600       4.931788e-02       4.575809e-03       2.678786e-02       6.885597e-01       2.163682e-02       1.134169e-01
       25700       3.370985e-02       4.240247e-03       1.856272e-02       3.890477e-01       1.024882e-02       9.496133e-02
       25800       4.644541e-02       3.778627e-03       2.422620e-02       4.297908e-01       1.522658e-02       1.177373e-01
       25900       1.881897e-02       6.978859e-04       1.049132e-02       1.886286e-01       1.578065e-02       8.328208e-02
       26000       1.077427e-01       3.535472e-03       5.623041e-02       1.865916e+00       1.095210e-02       1.888673e-01
       26100       1.990358e-02       3.624821e-03       1.118301e-02       1.534397e-01       9.862283e-03       4.802696e-02
